Neighbourhood,Year ,Home price,Change in housing pricing,Low income population,Change in low income pop,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_change_low_income_pop,Future_Change_housing_pricing 
Maple-Leaf,2011,332584,0.298365059,9935,-0.003956565,2.5,10195,1305,930,26,4,47,175,5,0.004604904,0.457273952
Markland-Wood,2011,401219,0.29770422,10360,0.023160351,2.9,10435,875,310,29,14,106,0,4,0.016015658,0.398012058
Milliken,2011,309410,0.311303802,26675,0.004999352,9.4,27160,3555,2740,160,137,2090,247,1,-0.078875882,0.532891632
Mimico,2011,448683,0.299999131,26340,0.035243306,6.9,26550,4660,1570,126,22,619,947,36,0.290080631,0.440464649
Morningside,2011,247293,0.269836298,17340,-0.023943714,5.6,17585,2285,1240,35,32,108,460,13,-0.143226526,0.51236792
Moss-Park,2011,485293,0.376588858,14335,0.333202451,1.4,16310,3965,1075,71,19,841,3133,14,0.249078387,0.500510001
Mount-Dennis,2011,252150,0.272655694,12855,-0.614621054,2.1,13150,1935,1170,59,6,184,864,21,-0.178251721,0.481173904
Mount-Olive-Silverstone-Jamestown,2011,234097,0.24104459,32710,0.004123156,4.6,32790,4690,5845,70,44,271,1146,41,-0.069045004,0.490053269
Mount-Pleasant-East,2011,646083,0.386438256,15975,0.014271716,3.1,15980,2290,585,58,47,463,333,5,0.022203686,0.430421478
Mount-Pleasant-West,2011,643200,0.403756883,28005,0.215880591,1.3,28590,8880,2765,45,135,1129,1443,11,-0.02751465,0.431626244
New-Toronto,2011,321344,0.320647863,10670,-0.064320811,3.5,10905,1565,475,41,14,368,1189,18,0.009383883,0.469935645
Newtonbrook-East,2011,522745,0.314208928,15920,0.037925138,4.1,16425,2775,1920,96,50,400,300,1,-0.116480152,0.517217764
Newtonbrook-West,2011,429706,0.364769927,22850,0.093596286,4.7,23050,3550,4200,95,55,483,261,1,0.086269645,0.523562622
Niagara,2011,493594,0.336866937,20655,0.205416563,3.1,21000,8625,900,64,15,591,2052,10,0.38446584,0.560442388
North-Riverdale,2011,574007,0.374955985,11945,-0.216823655,1.8,12195,1700,260,43,31,327,163,4,-0.194667702,0.430756071
North-St-James-Town,2011,583717,0.258952277,17590,-0.020987174,0.4,17825,4285,3315,19,74,243,1715,35,0.099335138,0.496408362
O-Connor-Parkview,2011,323840,0.279828007,18145,-0.021298338,4.9,18315,2240,1300,95,18,346,693,21,-0.023926746,0.521220356
Oakridge,2011,333031,0.291208195,13280,-0.020232998,1.8,13505,1990,2575,56,7,201,1464,9,0.003523344,0.473430401
Oakwood-Vaughan,2011,358120,0.371224652,20875,-0.032511796,2.2,21075,3130,1650,40,9,255,966,9,-0.030935069,0.55957221
Palmerston-Little-Italy,2011,586936,0.469058799,13680,0.015927612,1.4,13735,3915,430,40,57,521,262,1,0.000764148,0.427475909
Parkwoods-Donalda,2011,371636,0.314432242,34560,0.062134503,7.5,34620,4580,3905,109,32,209,786,63,-0.001415753,0.554790171
Playter-Estates-Danforth,2011,633347,0.345757238,7500,-0.006510288,0.9,7655,1230,175,41,37,301,192,2,0.002968835,0.420156723
Pleasant-View,2011,357937,0.316651585,16140,-0.049061712,3,16145,1945,1615,43,11,124,0,9,-0.082628272,0.546970556
Princess-Rosethorn,2011,559293,0.330414615,11155,0.030904873,5.2,11200,800,500,61,6,74,0,4,0.007468451,0.411828863
Regent-Park,2011,522231,0.355694122,9315,-0.10421786,0.6,10010,1675,840,20,1,143,2591,4,0.131449133,0.439361126
Rexdale-Kipling,2011,244688,0.303174747,10170,0.076716949,2.5,10485,1245,800,40,6,144,432,19,-0.121295636,0.449212875
Rockcliffe-Smythe,2011,276297,0.29692546,22255,0.045099685,5.1,22270,3015,1090,104,12,314,1252,17,-0.042063397,0.471626547
Roncesvalles,2011,527449,0.405177949,14880,0.021239493,1.5,15050,2830,1100,41,61,540,501,6,0.000376536,0.512413522
Rosedale-Moore-Park,2011,933660,0.339306463,20165,-0.026599518,4.6,20635,2555,750,91,40,683,573,9,0.030707622,0.416242529
Rouge,2011,316913,0.311141265,45575,0.12470569,37.6,45905,6130,2355,199,25,877,522,23,-0.025808725,0.513871595
Runnymede-Bloor-West-Village,2011,476028,0.369699202,9625,-0.012019762,1.6,9635,1200,205,55,24,334,6,1,0.007328977,0.435505895
Rustic,2011,323949,0.26232913,9890,0.009188652,2.1,9950,1205,425,30,2,48,1435,9,-0.05882904,0.457837499
Scarborough-Village,2011,300303,0.320106029,16290,0.070175429,3.1,16615,2075,1870,29,24,228,922,22,0.039035545,0.465849492
South-Parkdale,2011,455908,0.45213054,19685,-0.07520612,2.3,21245,4795,2965,40,14,564,1545,21,0.047368521,0.497258219
South-Riverdale,2011,432851,0.424072143,24770,0.05897959,9.6,25640,4645,1165,109,36,1197,1313,7,0.051441716,0.486962026
St-Andrew-Windfields,2011,689617,0.389597619,17890,-0.020600378,7.3,17955,1740,1585,151,34,591,0,3,-0.068583408,0.537721663
Steeles,2011,333901,0.319615538,24695,-0.011172411,4.6,25010,3185,2745,80,9,237,0,0,-0.007254217,0.502729851
Stonegate-Queensway,2011,458574,0.31883662,24540,0.023050743,7.9,24690,2845,1465,106,66,595,129,12,0.031822516,0.386755464
Tam-O-Shanter-Sullivan,2011,314609,0.286055324,27020,-0.030992058,5.5,27390,3270,3075,55,59,343,985,10,-0.01508119,0.499953911
The-Beaches,2011,537403,0.371069423,20940,0.017795978,3.6,21135,2580,505,44,24,531,193,17,0.018211254,0.419355679
Thistletown-Beaumonde-Heights,2011,313783,0.263404774,9990,-0.003080388,3.4,10140,1275,1070,45,14,217,447,7,-0.00482923,0.467839239
Thorncliffe-Park,2011,290384,0.274279119,19105,0.095677299,3.1,19225,3105,4165,62,18,449,551,11,0.145859193,0.432423963
Trinity-Bellwoods,2011,541819,0.381405476,16505,-0.055558805,1.7,16805,4075,860,41,34,715,42,1,-0.085359107,0.525917327
University,2011,665579,0.362160779,6595,0.06952057,1.4,7790,1945,370,45,59,483,359,1,0.012134437,0.33099001
Victoria-Village,2011,323910,0.315450687,16860,-0.558042956,4.7,17180,2380,1605,73,9,431,891,15,0.015374104,0.473242567
Waterfront-Communities,2011,521521,0.392125102,43150,1.012226779,7.6,43365,17275,3190,90,40,2899,3990,15,1.26053668,0.443620867
West-Hill,2011,230322,0.244829021,26260,-0.368816565,9.6,26550,3060,2080,80,33,424,2089,22,-0.197831882,0.523467146
West-Humber-Clairville,2011,259793,0.29202039,33330,0.031982845,30.09,34100,5115,2740,338,101,2463,952,38,-0.049234479,0.442321387
Westminster-Branson,2011,372816,0.278614985,25370,-0.018465941,3.7,25445,3480,4835,36,5,83,530,15,0.03158654,0.465814235
Weston,2011,267516,0.24884926,17910,0.041881405,2.6,18170,2825,1080,75,49,536,1048,32,-0.027585974,0.437865399
Weston-Pellam-Park,2011,290052,0.339410396,11995,-0.074089584,1.5,12015,1920,610,32,6,178,695,6,-0.042369751,0.499465613
Wexford-Maryvale,2011,323090,0.27859212,26715,0.035476746,10.2,27020,3190,1745,182,64,945,578,37,0.255922505,0.529060014
Willowdale-East,2011,611921,0.371980189,44945,0.128999304,5,45025,9835,6650,61,64,849,208,3,0.141568271,0.518869266
Willowdale-West,2011,509686,0.319411439,14970,0.029722142,2.9,15005,2655,1525,25,31,363,527,1,-0.000237936,0.584777687
Willowridge-Martingrove-Richview,2011,346289,0.270967221,21430,-0.245047212,5.5,21345,2340,1235,81,31,169,561,24,-0.10776291,0.379264141
Woburn,2011,265054,0.283660156,53010,-0.027682906,12.2,53350,7660,6030,139,93,1073,2660,26,-0.079100312,0.470836132
Woodbine-Corridor,2011,390980,0.381896582,11675,0.000467561,1.6,11705,1670,255,35,11,146,841,7,0.014126168,0.423947516
Woodbine-Lumsden,2011,334833,0.364715712,7805,-0.03069286,1.2,7825,1110,155,39,1,56,201,5,-0.036731739,0.564125997
Wychwood,2011,471161,0.340311381,12785,-0.032146971,1.7,13985,2095,590,62,35,379,1154,4,0.042202247,0.533528879
Yonge-Eglinton,2011,656205,0.358655931,10560,0.043959719,1.6,10580,2135,435,67,62,690,149,4,0.069028278,0.428303655
Yonge-St-Clair,2011,885067,0.339178367,11530,0.026939593,1.2,11655,2480,610,28,56,468,0,4,-0.043571435,0.40959498
York-University-Heights,2011,298296,0.31176781,27275,0.044635766,13.2,27715,4935,3160,235,67,2643,511,43,-0.138093336,0.447619143
Yorkdale-Glen-Park,2011,354842,0.340088372,13820,-0.040817582,5.9,14685,1785,825,155,46,1468,798,6,0.002106279,0.457809391
